location_district,location_area,agency,count,rank_no
"okres Liptovský Mikuláš",Prosiek,"Direct Real, spol. s r.o.",1,4
"okres Liptovský Mikuláš",Smrečany,"Porto Real Group",1,1
"okres Liptovský Mikuláš",Smrečany,"Pegas real s.r.o.",1,2
"okres Liptovský Mikuláš",Smrečany,mojaRK,1,3
"okres Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária",12,1
"okres Liptovský Mikuláš","Staré mesto","TATRA CITY RESIDENCE s. r. o.",9,2
"okres Liptovský Mikuláš","Staré mesto","KA Real",6,3
"okres Liptovský Mikuláš","Staré mesto","AstonReal s.r.o.",4,4
"okres Liptovský Mikuláš","Staré mesto",jabyvam.sk,3,5
"okres Liptovský Mikuláš","Staré mesto","Direct Real, spol. s r.o.",3,6
"okres Liptovský Mikuláš","Staré mesto","XEMAR realitná spoločnosť s.r.o.",3,7
"okres Liptovský Mikuláš","Staré mesto","GERT , s.r.o.",3,8
"okres Liptovský Mikuláš","Staré mesto","RK SPIRIT s.r.o.",3,9
"okres Liptovský Mikuláš","Staré mesto",G-REAL,3,10
"okres Liptovský Mikuláš","Staré mesto","Reality Alpia",2,11
"okres Liptovský Mikuláš","Staré mesto",liptoreal,2,12
"okres Liptovský Mikuláš","Staré mesto","Realitné kancelárie SR",2,13
"okres Liptovský Mikuláš","Staré mesto","HALO reality, s.r.o.",2,14
"okres Liptovský Mikuláš","Staré mesto","BEŇO REALITY",1,15
"okres Liptovský Mikuláš","Staré mesto","ADOMOS REAL s.r.o.",1,16
"okres Liptovský Mikuláš","Staré mesto","OVERENÉ REALITY",1,17
"okres Liptovský Mikuláš","Staré mesto","TUreality s.r.o.",1,18
"okres Liptovský Mikuláš","Staré mesto","KRUPPKY, s.r.o.",1,19
"okres Liptovský Mikuláš","Staré mesto","Realitná kancelária Peter Hubka",1,20
"okres Liptovský Mikuláš","Staré mesto","Loviu, s.r.o.",1,21
"okres Liptovský Mikuláš","Staré mesto","1.BCR REAL ESTATE SLOVAKIA",1,22
"okres Liptovský Mikuláš",Stošice,"DVOŘÁK & PARTNERS s. r. o.",2,1
"okres Liptovský Mikuláš",Stošice,"Direct Real, spol. s r.o.",1,2
"okres Liptovský Mikuláš",Stošice,"HALO reality, s.r.o.",1,3
"okres Liptovský Mikuláš",Stošice,"ARBIZ real estate & finance s. r. o.",1,4
"okres Liptovský Mikuláš",Stošice,"KRUPPKY, s.r.o.",1,5
"okres Liptovský Mikuláš",Stošice,Limaxreal,1,6
"okres Liptovský Mikuláš","Svätý Kríž","RESIDENCE realitná kancelária",3,1
"okres Liptovský Mikuláš","Svätý Kríž","Reality Alpia",2,2
"okres Liptovský Mikuláš","Svätý Kríž","AstonReal s.r.o.",1,3
"okres Liptovský Mikuláš","Svätý Kríž","Vivid House s. r. o.",1,4
"okres Liptovský Mikuláš","Svätý Kríž","Romantické Chalupy, s.r.o.",1,5
"okres Liptovský Mikuláš","Svätý Kríž","TUreality s.r.o.",1,6
"okres Liptovský Mikuláš","Svätý Kríž","Realitná kancelária",1,7
"okres Liptovský Mikuláš","Svätý Kríž","RE/MAX Slovakia",1,8
"okres Liptovský Mikuláš",Trstené,"WFG reality, s.r.o.",2,1
"okres Liptovský Mikuláš","Uhorská Ves","Direct Real, spol. s r.o.",1,1
"okres Liptovský Mikuláš","Uhorská Ves","KRUPPKY, s.r.o.",1,2
"okres Liptovský Mikuláš",Vavrišovo,"Realitná kancelária Peter Hubka",1,1
"okres Liptovský Mikuláš",Vavrišovo,"SCHNEIDER Real",1,2
"okres Liptovský Mikuláš",Vavrišovo,"Reality Alpia",1,3
"okres Liptovský Mikuláš",Važec,"HALO reality, s.r.o.",3,1
"okres Liptovský Mikuláš",Važec,"REALITY TATRY",2,2
"okres Liptovský Mikuláš",Važec,"Reality Alpia",1,3
"okres Liptovský Mikuláš",Važec,liptoreal,1,4
"okres Liptovský Mikuláš",Važec,"DRAŽOBNÍK, s.r.o.",1,5
"okres Liptovský Mikuláš",Važec,jabyvam.sk,1,6
"okres Liptovský Mikuláš",Važec,"RK SPIRIT s.r.o.",1,7
"okres Liptovský Mikuláš","Veľké Borové","OVERENÉ REALITY",1,1
"okres Liptovský Mikuláš","Veterná Poruba",jabyvam.sk,1,1
"okres Liptovský Mikuláš",Vitálišovce,"BIZNIS REALITY, s.r.o.",2,1
"okres Liptovský Mikuláš",Vitálišovce,"RESIDENCE realitná kancelária",2,2
"okres Liptovský Mikuláš",Vlachy,"BeMi realitná kancelária",3,1
"okres Liptovský Mikuláš",Vlachy,"Reality Alpia",3,2
"okres Liptovský Mikuláš",Vlachy,"Nové bývanie",2,3
"okres Liptovský Mikuláš",Vlachy,Limaxreal,1,4
"okres Liptovský Mikuláš",Vlachy,"OVERENÉ REALITY",1,5
"okres Liptovský Mikuláš",Vlachy,"RECLOUD Reality a.s.",1,6
"okres Liptovský Mikuláš",Vlachy,"RESIDENCE realitná kancelária",1,7
"okres Liptovský Mikuláš","Vrbica - Nábrežie","RESIDENCE realitná kancelária",4,1
"okres Liptovský Mikuláš","Vrbica - Nábrežie","AstonReal s.r.o.",3,2
"okres Liptovský Mikuláš","Vrbica - Nábrežie","Direct Real, spol. s r.o.",3,3
"okres Liptovský Mikuláš","Vrbica - Nábrežie","OVERENÉ REALITY",3,4
"okres Liptovský Mikuláš","Vrbica - Nábrežie","RE/MAX Slovakia",2,5
"okres Liptovský Mikuláš","Vrbica - Nábrežie","HALO reality, s.r.o.",1,6
"okres Liptovský Mikuláš","Vrbica - Nábrežie","J.M.H. s.r.o.",1,7
"okres Liptovský Mikuláš","Vrbica - Nábrežie","GERT , s.r.o.",1,8
"okres Liptovský Mikuláš","Vrbica - Nábrežie","YFE, s.r.o.",1,9
"okres Liptovský Mikuláš","Vrbica - Nábrežie","HD reality group s.r.o",1,10
"okres Liptovský Mikuláš","Vrbica - Nábrežie",jabyvam.sk,1,11
"okres Liptovský Mikuláš","Vrbica - Nábrežie",donidDevelop,1,12
"okres Liptovský Mikuláš","Vrbica - Nábrežie","RK SPIRIT s.r.o.",1,13
"okres Liptovský Mikuláš",Východná,"REALITY TATRY",3,1
"okres Liptovský Mikuláš",Východná,"RK SPIRIT s.r.o.",2,2
"okres Liptovský Mikuláš",Východná,"RESIDENCE realitná kancelária",1,3
"okres Liptovský Mikuláš",Východná,"RE/MAX Slovakia",1,4
"okres Liptovský Mikuláš",Východná,"Direct Real, spol. s r.o.",1,5
"okres Liptovský Mikuláš",Východná,liptoreal,1,6
"okres Liptovský Mikuláš",Východná,"HALO reality, s.r.o.",1,7
"okres Liptovský Mikuláš","Vyšná Boca","Bosen Group s.r.o.",1,1
"okres Liptovský Mikuláš","Vyšná Boca","REALITY SPOLU",1,2
"okres Liptovský Mikuláš","Závažná Poruba","RK SPIRIT s.r.o.",2,1
"okres Liptovský Mikuláš","Závažná Poruba","Direct Real, spol. s r.o.",2,2
"okres Liptovský Mikuláš","Závažná Poruba",Limaxreal,1,3
"okres Liptovský Mikuláš","Závažná Poruba","HALO reality, s.r.o.",1,4
"okres Martin",Belá-Dulice,"Reality Center, s.r.o.",3,1
"okres Martin",Belá-Dulice,"Realitné kancelárie SR",2,2
"okres Martin",Belá-Dulice,"Reality Turiec s.r o.",2,3
"okres Martin",Belá-Dulice,"B10 Slovensko, a. s.",1,4
"okres Martin",Belá-Dulice,"Buby reality, s.r.o.",1,5
"okres Martin",Belá-Dulice,"OVERENÉ REALITY",1,6
"okres Martin",Belá-Dulice,"Reality BL, s.r.o.",1,7
"okres Martin",Belá-Dulice,"Reality ASTORIA, s.r.o.",1,8
"okres Martin",Blatnica,"ALT REAL, s.r.o.",2,1
"okres Martin",Blatnica,"YNI reality",1,2
"okres Martin",Blatnica,"Buby reality, s.r.o.",1,3
"okres Martin",Blatnica,"Reality Center, s.r.o.",1,4
"okres Martin",Blatnica,"Romantické Chalupy, s.r.o.",1,5
"okres Martin",Blatnica,"RECLOUD Reality a.s.",1,6
"okres Martin",Blatnica,"JMB REALITY s.r.o.",1,7
"okres Martin",Bystrička,"Realitné kancelárie SR",2,1
"okres Martin",Bystrička,"MAX PROFI REALITY",1,2
"okres Martin",Bystrička,"Reality Alpia",1,3
"okres Martin",Bystrička,"TUreality s.r.o.",1,4
"okres Martin",Ďanová,"Reality IQ, s.r.o.",1,1
"okres Martin",Ďanová,"Reality Center, s.r.o.",1,2
"okres Martin",Daňová,"Reality AK, spol. s r.o.",1,3
"okres Martin",Diaková,"Reality Simply",1,1
"okres Martin",Diaková,"B10 Slovensko, a. s.",1,2
"okres Martin",Diaková,"Reality D.P.A.",1,3
"okres Martin","Dolné Vrútky","Reality ASTORIA, s.r.o.",2,1
"okres Martin","Dolné Vrútky","LIF REAL",1,2
"okres Martin","Dolné Vrútky","Like Reality s.r.o.",1,3
"okres Martin","Dolné Vrútky","Realitná kancelária",1,4
"okres Martin","Dolné Vrútky","Ing.Zuzana Paverová",1,5
"okres Martin","Dolné Vrútky","Reality Center, s.r.o.",1,6
"okres Martin","Dolné Vrútky","RECLOUD Reality a.s.",1,7
"okres Martin","Dolný Kalník","Realitná kancelária",1,1
"okres Martin","Dolný Kalník","ALT REAL, s.r.o.",1,2
"okres Martin","Dolný Kalník","Reality Alpia",1,3
"okres Martin","Dolný Kalník","Like Reality s.r.o.",1,4
"okres Martin","Dolný Kalník","Reality MT s.r.o.",1,5
"okres Martin",Dražkovce,"TUreality s.r.o.",1,1
"okres Martin",Dražkovce,"B10 Slovensko, a. s.",1,2
"okres Martin",Dražkovce,"Real Reality Development s.r.o.",1,3
"okres Martin","Horné Vrútky","FINREA - ak vám záleží na výsledku",3,1
"okres Martin","Horné Vrútky","Realitná kancelária",3,2
"okres Martin","Horné Vrútky","Like Reality s.r.o.",3,3
"okres Martin","Horné Vrútky","Reality MT s.r.o.",2,4
"okres Martin","Horné Vrútky","Reality ASTORIA, s.r.o.",2,5
"okres Martin","Horné Vrútky","B10 Slovensko, a. s.",2,6
"okres Martin","Horné Vrútky","GRAVITAS a. s.",1,7
"okres Martin","Horné Vrútky","LIF REAL",1,8
"okres Martin","Horné Vrútky","Felicita Real s. r. o.",1,9
"okres Martin","Horné Vrútky","ALT REAL, s.r.o.",1,10
"okres Martin","Horné Vrútky","Reality Simply",1,11
"okres Martin","Horné Vrútky","Reality AK, spol. s r.o.",1,12
"okres Martin","Horné Vrútky","Reality D.P.A.",1,13
"okres Martin","Horné Vrútky","Reality Center, s.r.o.",1,14
"okres Martin","Horné Vrútky","NajBývanie, s.r.o.",1,15
"okres Martin","Horné Vrútky","HALO reality, s.r.o.",1,16
"okres Martin","Horný Kalník","Reality BL, s.r.o.",1,1
"okres Martin","Horný Kalník",donidDevelop,1,2
"okres Martin",Jahodníky,"CANGURU s.r.o.",13,1
"okres Martin",Jahodníky,"Buby reality, s.r.o.",4,2
"okres Martin",Jahodníky,"Reality Alpia",4,3
"okres Martin",Jahodníky,"Realitná kancelária",2,4
"okres Martin",Jahodníky,"Reality Center, s.r.o.",2,5
"okres Martin",Jahodníky,"Reality ASTORIA, s.r.o.",2,6
"okres Martin",Jahodníky,"Realitné kancelárie SR",1,7
"okres Martin",Jahodníky,"DOBRÉ REALITY s.r.o.",1,8
"okres Martin",Jahodníky,"HD reality group s.r.o",1,9
"okres Martin",Jahodníky,"B10 Slovensko, a. s.",1,10
"okres Martin",Jahodníky,"RE/MAX Slovakia",1,11
"okres Martin",Jahodníky,"RIEŠIME BÝVANIE",1,12
"okres Martin",Jahodníky,"Like Reality s.r.o.",1,13
"okres Martin",Karlová,"ATP stavby s.r.o.",1,1
"okres Martin",Karlová,"MAX PROFI REALITY",1,2
"okres Martin",Karlová,"Piata Avenue",1,3
"okres Martin","Karvaša a Bláhovca","TARGETreal s. r. o.",3,1
"okres Martin","Karvaša a Bláhovca","Reality Alpia",2,2
"okres Martin","Karvaša a Bláhovca","FINREA - ak vám záleží na výsledku",2,3
"okres Martin","Karvaša a Bláhovca","Reality ASTORIA, s.r.o.",2,4
"okres Martin","Karvaša a Bláhovca","Reality D.P.A.",2,5
"okres Martin","Karvaša a Bláhovca","Realitná kancelária",1,6
"okres Martin","Karvaša a Bláhovca","Romantické Chalupy, s.r.o.",1,7
"okres Martin","Karvaša a Bláhovca","LIF REAL",1,8
"okres Martin","Karvaša a Bláhovca","TUreality s.r.o.",1,9
"okres Martin","Karvaša a Bláhovca","Reality Center, s.r.o.",1,10
"okres Martin","Kláštor pod Znievom","Reality AK, spol. s r.o.",4,1
"okres Martin","Kláštor pod Znievom","Realitná kancelária",3,2
"okres Martin","Kláštor pod Znievom","LIF REAL",2,3
"okres Martin","Kláštor pod Znievom","U9, a.s.",1,4
"okres Martin","Kláštor pod Znievom","ALT REAL, s.r.o.",1,5
"okres Martin","Kláštor pod Znievom","Reality ASTORIA, s.r.o.",1,6
"okres Martin","Kláštor pod Znievom","B10 Slovensko, a. s.",1,7
"okres Martin","Kláštor pod Znievom","RE/MAX Slovakia",1,8
"okres Martin","Kolónia Hviezda","TUreality s.r.o.",2,1
"okres Martin","Kolónia Hviezda","Reality Alpia",2,2
"okres Martin","Kolónia Hviezda","ALT REAL, s.r.o.",1,3
"okres Martin","Kolónia Hviezda","TB Real, spol. s r.o.",1,4
"okres Martin","Kolónia Hviezda","Reality ASTORIA, s.r.o.",1,5
"okres Martin","Košťany nad Turcom","ALT REAL, s.r.o.",3,1
"okres Martin","Košťany nad Turcom","Reality MT s.r.o.",2,2
"okres Martin","Košťany nad Turcom","B10 Slovensko, a. s.",2,3
"okres Martin","Košťany nad Turcom","ŽILINAREAL, s.r.o.",1,4
"okres Martin","Košťany nad Turcom","TARGETreal s. r. o.",1,5
"okres Martin","Košťany nad Turcom","RE/MAX Slovakia",1,6
"okres Martin","Košťany nad Turcom","CPM Real Estate",1,7
"okres Martin","Košťany nad Turcom","BALAŽI REAL ESTATE s.r.o.",1,8
"okres Martin",Košúty,"B10 Slovensko, a. s.",4,1
"okres Martin",Košúty,"Realitná kancelária",3,2
"okres Martin",Košúty,"Reality Alpia",2,3
"okres Martin",Košúty,"ALFA SALUTO REAL s.r.o",2,4
"okres Martin",Košúty,"Realitná kancelária DR, s.r.o.",1,5
"okres Martin",Košúty,"TUreality s.r.o.",1,6
"okres Martin",Košúty,"AstonReal s.r.o.",1,7
"okres Martin",Košúty,"FINREA - ak vám záleží na výsledku",1,8
"okres Martin",Košúty,"MTS Reality, s.r.o.",1,9
"okres Martin",Košúty,"RE/MAX Slovakia",1,10
"okres Martin",Košúty,"MAX PROFI REALITY",1,11
"okres Martin",Košúty,"Vianema s.r.o.",1,12
"okres Martin",Košúty,"Reality ASTORIA, s.r.o.",1,13
"okres Martin",Krpeľany,"Romantické Chalupy, s.r.o.",1,1
"okres Martin",Ľadoveň,"B10 Slovensko, a. s.",5,1
"okres Martin",Ľadoveň,"Realitná kancelária",3,2
"okres Martin",Ľadoveň,"TUreality s.r.o.",3,3
"okres Martin",Ľadoveň,"Reality Alpia",3,4
"okres Martin",Ľadoveň,"Reality ASTORIA, s.r.o.",2,5
"okres Martin",Ľadoveň,"ALT REAL, s.r.o.",1,6
"okres Martin",Ľadoveň,"Reality Center, s.r.o.",1,7
"okres Martin",Ľadoveň,"FINREA - ak vám záleží na výsledku",1,8
"okres Martin",Ľadoveň,"Financie a reality od A po Z",1,9
"okres Martin",Ľadoveň,"Reality D.P.A.",1,10
"okres Martin",Ľadoveň,"Felicita Real s. r. o.",1,11
"okres Martin",Ľadoveň,"TARGETreal s. r. o.",1,12
"okres Martin",Ľadoveň,"Realitné kancelárie SR",1,13
"okres Martin",Laskár,"B10 Slovensko, a. s.",1,1
"okres Martin",Laskár,"Realitné kancelárie SR",1,2
"okres Martin",Ležiachov,"B10 Slovensko, a. s.",1,1
"okres Martin",Lipovec,"Realitná kancelária",3,1
"okres Martin",Lipovec,"Piata Avenue",2,2
"okres Martin",Lipovec,"Like Reality s.r.o.",1,3
"okres Martin",Lipovec,"B10 Slovensko, a. s.",1,4
"okres Martin",Lipovec,"Reality AK, spol. s r.o.",1,5
"okres Martin",Lipovec,"Real Reality Development s.r.o.",1,6
"okres Martin",Lipovec,"Reality MT s.r.o.",1,7
"okres Martin","Martinské hole",donidDevelop,1,1
"okres Martin",Mexiko,"LICITOR group, a.s.",1,1
"okres Martin",Necpaly,"B10 Slovensko, a. s.",3,1
"okres Martin",Necpaly,"Reality Center, s.r.o.",2,2
"okres Martin",Necpaly,"RES GROUP, s.r.o.",2,3
"okres Martin",Necpaly,"ALT REAL, s.r.o.",2,4
"okres Martin",Necpaly,"Realitné kancelárie SR",2,5
"okres Martin",Necpaly,"Ing.Zuzana Paverová",1,6
"okres Martin",Necpaly,"Reality ASTORIA, s.r.o.",1,7
"okres Martin",Necpaly,"Reality Alpia",1,8
"okres Martin",Necpaly,"Reality MT s.r.o.",1,9
"okres Martin",Necpaly,"RIEŠIME BÝVANIE",1,10
"okres Martin",Necpaly,"R2 SK, s.r.o.",1,11
"okres Martin",Nolčovo,"Reality ASTORIA, s.r.o.",1,1
"okres Martin",Podháj,"Reality Center, s.r.o.",2,1
"okres Martin",Podháj,"B10 Slovensko, a. s.",2,2
"okres Martin",Podháj,"Buby reality, s.r.o.",1,3
"okres Martin",Podháj,"ALT REAL, s.r.o.",1,4
"okres Martin",Podháj,"Realitné kancelárie SR",1,5
"okres Martin",Podháj,"U9, a.s.",1,6
"okres Martin",Podháj,"Piata Avenue",1,7
"okres Martin",Podháj,"TUreality s.r.o.",1,8
"okres Martin",Podháj,"Reality Simply",1,9
"okres Martin",Podháj,"LIF REAL",1,10
"okres Martin",Podháj,"RE/MAX Slovakia",1,11
"okres Martin",Podháj,"Like Reality s.r.o.",1,12
"okres Martin",Podháj,"OVERENÉ REALITY",1,13
"okres Martin",Podháj,"FINREA - ak vám záleží na výsledku",1,14
"okres Martin",Podháj,"Reality ASTORIA, s.r.o.",1,15
"okres Martin",Podhradie,"Real Reality Development s.r.o.",1,1
"okres Martin",Podhradie,"Reality Turiec s.r o.",1,2
"okres Martin",Podhradie,"B10 Slovensko, a. s.",1,3
"okres Martin",Podhradie,"Reality ASTORIA, s.r.o.",1,4
"okres Martin",Podhradie,"RE/MAX Slovakia",1,5
"okres Martin",Podhradie,"Realitná kancelária DR, s.r.o.",1,6
"okres Martin",Príbovce,"RECLOUD Reality a.s.",2,1
"okres Martin",Príbovce,"Realitná kancelária",2,2
"okres Martin",Príbovce,"Realitná kancelária Kľúč",1,3
"okres Martin",Príbovce,"Like Reality s.r.o.",1,4
"okres Martin",Príbovce,"Reality BL, s.r.o.",1,5
"okres Martin",Príbovce,"CreeX Reality s.r.o.",1,6
"okres Martin",Príbovce,"Reality MT s.r.o.",1,7
"okres Martin",Príbovce,"B10 Slovensko, a. s.",1,8
"okres Martin",Príbovce,"RE/MAX Slovakia",1,9
"okres Martin",Príbovce,"Reality ASTORIA, s.r.o.",1,10
"okres Martin",Príbovce,"LIF REAL",1,11
"okres Martin",Priekopa,"Reality Alpia",6,1
"okres Martin",Priekopa,"ALT REAL, s.r.o.",4,2
"okres Martin",Priekopa,"Buby reality, s.r.o.",4,3
"okres Martin",Priekopa,"Like Reality s.r.o.",4,4
"okres Martin",Priekopa,"FINREA - ak vám záleží na výsledku",3,5
"okres Martin",Priekopa,"NajBývanie, s.r.o.",3,6
"okres Martin",Priekopa,"ROMDOM, s. r. o",3,7
"okres Martin",Priekopa,"RE/MAX Slovakia",2,8
"okres Martin",Priekopa,"Reality ASTORIA, s.r.o.",2,9
"okres Martin",Priekopa,"CANGURU s.r.o.",2,10
"okres Martin",Priekopa,"TUreality s.r.o.",2,11
"okres Martin",Priekopa,"Piata Avenue",2,12
"okres Martin",Priekopa,"Realitná kancelária",2,13
"okres Martin",Priekopa,"Reality Center, s.r.o.",2,14
"okres Martin",Priekopa,"TARGETreal s. r. o.",2,15
"okres Martin",Priekopa,"Reality D.P.A.",1,16
"okres Martin",Priekopa,"AstonReal s.r.o.",1,17
"okres Martin",Priekopa,"Reality AK, spol. s r.o.",1,18
"okres Martin",Priekopa,"Georgi Conev",1,19
"okres Martin",Priekopa,"Reality Simply",1,20
"okres Martin",Priekopa,"B10 Slovensko, a. s.",1,21
"okres Martin",Priekopa,"Mgr. Silvia Lukáčová - RealPoint",1,22
"okres Martin",Priekopa,"Realitná kancelária RED, s.r.o.",1,23
"okres Martin",Priekopa,"RECLOUD Reality a.s.",1,24
"okres Martin",Priekopa,"Realitné kancelárie SR",1,25
"okres Martin",Priekopa,"Eli real realitná kancelária",1,26
"okres Martin",Priekopa,"Financie a reality od A po Z",1,27
"okres Martin",Priekopa,Time4dreams,1,28
"okres Martin",Priekopa,Reality+,1,29
"okres Martin",Priekopa,"MAX PROFI REALITY",1,30
"okres Martin",Rakovo,"Reality Center, s.r.o.",1,1
"okres Martin",Rakovo,"Reality MT s.r.o.",1,2
"okres Martin",Rakovo,"B10 Slovensko, a. s.",1,3
"okres Martin",Ratkovo,"BALAŽI REAL ESTATE s.r.o.",2,1
"okres Martin",Ratkovo,"Realitné kancelárie SR",1,2
"okres Martin",Ratkovo,"Direct Real, spol. s r.o.",1,3
"okres Martin",Ratkovo,"Buby reality, s.r.o.",1,4
"okres Martin",Sever,"Realitná kancelária",6,1
"okres Martin",Sever,"FINREA - ak vám záleží na výsledku",4,2
"okres Martin",Sever,"Reality ASTORIA, s.r.o.",3,3
"okres Martin",Sever,"TUreality s.r.o.",3,4
"okres Martin",Sever,"Like Reality s.r.o.",2,5
"okres Martin",Sever,"Reality AK, spol. s r.o.",2,6
"okres Martin",Sever,"Reality Center, s.r.o.",2,7
"okres Martin",Sever,"Buby reality, s.r.o.",2,8
"okres Martin",Sever,"B10 Slovensko, a. s.",2,9
"okres Martin",Sever,"RECOM, s.r.o.",2,10
"okres Martin",Sever,"RE/MAX Slovakia",1,11
"okres Martin",Sever,"NajBývanie, s.r.o.",1,12
"okres Martin",Sever,"RECLOUD Reality a.s.",1,13
"okres Martin",Sever,"WFG reality, s.r.o.",1,14
"okres Martin",Sever,"RIEŠIME BÝVANIE",1,15
"okres Martin",Sever,"Reality Alpia",1,16
"okres Martin",Sever,"Felicita Real s. r. o.",1,17
"okres Martin",Sever,"Realitné kancelárie SR",1,18
"okres Martin",Sever,"HD reality group s.r.o",1,19
"okres Martin",Sever,"KARIN & PARTNERS, s.r.o.",1,20
"okres Martin",Sever,"AstonReal s.r.o.",1,21
"okres Martin",Sklabiňa,"ALT REAL, s.r.o.",3,1
"okres Martin",Slovany,"Buby reality, s.r.o.",4,1
"okres Martin",Slovany,"Reality ASTORIA, s.r.o.",2,2
"okres Martin",Slovany,"RES GROUP, s.r.o.",2,3
"okres Martin",Socovce,"Buby reality, s.r.o.",1,1
"okres Martin",Stráne,"Reality AK, spol. s r.o.",4,1
"okres Martin",Stráne,"Reality Alpia",4,2
"okres Martin",Stráne,"B10 Slovensko, a. s.",3,3
"okres Martin",Stráne,"TARGETreal s. r. o.",3,4
"okres Martin",Stráne,"Reality ASTORIA, s.r.o.",3,5
"okres Martin",Stráne,"Like Reality s.r.o.",2,6
"okres Martin",Stráne,"ALT REAL, s.r.o.",2,7
"okres Martin",Stráne,"Financie a reality od A po Z",1,8
"okres Martin",Stráne,"Realitné kancelárie SR",1,9
"okres Martin",Stráne,"FINREA - ak vám záleží na výsledku",1,10
"okres Martin",Stráne,"Realitná kancelária",1,11
"okres Martin",Stráne,"Reality Center, s.r.o.",1,12
"okres Martin",Stráne,"TUreality s.r.o.",1,13
"okres Martin",Stráne,"Vianema s.r.o.",1,14
"okres Martin",Stráne,"RE/MAX Slovakia",1,15
"okres Martin",Stráne,"Real Reality Development s.r.o.",1,16
"okres Martin",Stred,"FINREA - ak vám záleží na výsledku",10,1
"okres Martin",Stred,"Reality Alpia",8,2
"okres Martin",Stred,"RE/MAX Slovakia",8,3
"okres Martin",Stred,"Buby reality, s.r.o.",8,4
"okres Martin",Stred,"Realitná kancelária",5,5
"okres Martin",Stred,"TUreality s.r.o.",5,6
"okres Martin",Stred,"ALT REAL, s.r.o.",5,7
"okres Martin",Stred,"B10 Slovensko, a. s.",5,8
"okres Martin",Stred,"Reality Center, s.r.o.",5,9
"okres Martin",Stred,"Reality ASTORIA, s.r.o.",4,10
"okres Martin",Stred,"TARGETreal s. r. o.",3,11
"okres Martin",Stred,"Constario REALTY s.r.o.",3,12
"okres Martin",Stred,"AstonReal s.r.o.",2,13
"okres Martin",Stred,"RS Mansory s.r.o.",2,14
"okres Martin",Stred,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO",2,15
"okres Martin",Stred,"Reality AK, spol. s r.o.",2,16
"okres Martin",Stred,"Reality MT s.r.o.",2,17
"okres Martin",Stred,"Vianema s.r.o.",1,18
"okres Martin",Stred,"RIEŠIME BÝVANIE",1,19
"okres Martin",Stred,"Felicita Real s. r. o.",1,20
"okres Martin",Stred,"Reality Turiec s.r o.",1,21
"okres Martin",Stred,"Like Reality s.r.o.",1,22
"okres Martin",Stred,"Realitná kancelária DR, s.r.o.",1,23
"okres Martin",Stred,"LIF REAL",1,24
"okres Martin",Stred,"BRATISLAVA REAL s.r.o.",1,25
"okres Martin",Stred,"Real Reality Development s.r.o.",1,26
"okres Martin",Stred,"RECLOUD Reality a.s.",1,27
"okres Martin",Stred,"Realitné kancelárie SR",1,28
"okres Martin",Stred,"MAX PROFI REALITY",1,29
"okres Martin",Stred,"Cooper Real s.r.o",1,30
"okres Martin",Stred,AZUR.RE,1,31
"okres Martin",Stred,"Financie a reality od A po Z",1,32
"okres Martin",Stred,"Reality D.P.A.",1,33
"okres Martin",Stred,"DreamReality s.r.o.",1,34
"okres Martin",Sučany,"Constario REALTY s.r.o.",4,1
"okres Martin",Sučany,"TARGETreal s. r. o.",4,2
"okres Martin",Sučany,"Reality D.P.A.",3,3
"okres Martin",Sučany,"Realitná kancelária",3,4
"okres Martin",Sučany,"Like Reality s.r.o.",2,5
"okres Martin",Sučany,"Reality ASTORIA, s.r.o.",2,6
"okres Martin",Sučany,"JKV REAL",2,7
"okres Martin",Sučany,"R2 SK, s.r.o.",2,8
"okres Martin",Sučany,"AstonReal s.r.o.",2,9
"okres Martin",Sučany,"LAWIS s.r.o.",1,10
"okres Martin",Sučany,"Realitné kancelárie SR",1,11
"okres Martin",Sučany,"iO Partners Slovakia s.r.o.",1,12
"okres Martin",Sučany,"Reality MT s.r.o.",1,13
"okres Martin",Sučany,"RECLOUD Reality a.s.",1,14
"okres Martin",Sučany,"Reality AK, spol. s r.o.",1,15
"okres Martin",Sučany,"TUreality s.r.o.",1,16
"okres Martin",Sučany,"Felicita Real s. r. o.",1,17
"okres Martin",Sučany,donidDevelop,1,18
"okres Martin",Sučany,"FINREA - ak vám záleží na výsledku",1,19
"okres Martin",Sučany,"Svoboda&Williams Slovakia s.r.o.",1,20
"okres Martin",Šútovo,"BALAŽI REAL ESTATE s.r.o.",3,1
"okres Martin",Šútovo,"Real Reality Development s.r.o.",1,2
"okres Martin",Tomčany,"Reality AK, spol. s r.o.",5,1
"okres Martin",Tomčany,"TARGETreal s. r. o.",3,2
"okres Martin",Tomčany,"Buby reality, s.r.o.",3,3
"okres Martin",Tomčany,"MAX PROFI REALITY",1,4
"okres Martin",Tomčany,"Piata Avenue",1,5
"okres Martin",Tomčany,"ŽILINAREAL, s.r.o.",1,6
"okres Martin",Tomčany,"Reality Alpia",1,7
"okres Martin",Trebostovo,"Reality D.P.A.",2,1
"okres Martin",Trebostovo,"Prom Real",1,2
"okres Martin",Trebostovo,"VAŠE REALITY s.r.o.",1,3
"okres Martin",Trebostovo,"Reality Simply",1,4
"okres Martin",Trnovo,"JMB REALITY s.r.o.",2,1
